'PSOE ' 3  3578  11.65 
'UPyD '    815  2.65 
'PDSC '    720  2.34 
'LV-GV DE CEUTA '    566  1.84 
'FE '    138  0.45 
'  '         
'PSOE  ' 477   119305   40.06  
'PP ' 471  137621  46.21 
'IU ' 34  15682  5.27 
'UdCa ' 10  1836  0.62 
'CPxVI ' 4  1385  0.47 
'PVISCM ' 4  1024  0.34 
'CCD ' 4  656  0.22 
'AIR ' 4  206  0.07 
'PLJ ' 3  2123  0.71 
'AIDA ' 3  413  0.14 
'A ROBLEDANA E INDPTES ' 3  254  0.09 
'UPyD ' 2  4905  1.65 
'CxA ' 2  1755  0.59 
'USi ' 2  345  0.12 
'Cc x V ' 2  307  0.10 
'CCxA ' 2  281  0.09 
'A VALENZUELA INDPTE ' 2  139  0.05 
'ACIAL ' 1  384  0.13 
'A E DEM JOVEN ALCOLEANA ' 1  158  0.05 
'A INDPTE PUEBLA ' 1  156  0.05 
'AC ' 1  132  0.04 
'DEYPA ' 1  110  0.04 
'IXP ' 1  94  0.03 
'UC INDPTE DE RETUERTA ' 1  93  0.03 
'GRIM ' 1  91  0.03 
'AES ' 1  86  0.03 
'CENB '    615  0.21 
'LV-GV '    610  0.20 
'AC-AI '    314  0.11 
'LIM '    201  0.07 
'DN '    200  0.07 
'PCAS '    56  0.02 
'API '    21  0.01 
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'PSOE de Andalucia  ' 378   122286   27.60  
'PP ' 286  163996  37.02 
'IULV-CA ' 152  75225  16.98 
'PA ' 54  24493  5.53 
'CDeI ' 9  3109  0.70 
'UCOR ' 5  24805  5.60 
'UNIDE ' 5  1470  0.33 
'UPOA ' 4  1638  0.37 
'GIH ' 4  855  0.19 
'OLIVO-I ' 3  1172  0.26 
'UNAXKÑT ' 3  657  0.15 
'ASI ' 2  705  0.16 
'CIDG ' 2  695  0.16 
'UCMI ' 2  221  0.05 
'ULIA ' 1  395  0.09 
'UPB ' 1  180  0.04 
'UPyD '    4127  0.93 
'ECOLO '    4111  0.93 
'CENB '    1130  0.26 
'PUM+J '    494  0.11 
'Iniciativa C I '    354  0.08 
'PCPE '    349  0.08 
'PAMUL '    253  0.06 
'SAIn '    226  0.05 
'PICIFN '    197  0.04 
'GIPA '    178  0.04 
'FE de las JONS '    162  0.04 
'AM@ '    136  0.03 
'UNIEN '    117  0.03 
'PCB '    115  0.03 
'UPAN '    83  0.02 
'UAPA '    81  0.02 
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'PP  ' 702   61730   46.75  
'PSOE ' 693  58952  44.65 
'IU ' 15  4087  3.10 
'CDL ' 6  609  0.46 
'ZTI ' 4  120  0.09 
